experiment,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
baseline,0.8300,0.4013,0.5549,0.1509,0.2576,0.1677,0.5059,0.4488,0.7727,0.4079,0.7207,0.2746,0.4773,0.5017,0.2565,0.2393,0.4640,0.0785,0.3604
photometric_low,0.6806,0.1847,0.2471,0.0595,0.2291,0.0523,0.2925,0.2190,0.4774,0.2207,0.1363,0.1827,0.4173,0.5960,0.1299,0.0000,0.0679,0.0339,0.1782
photometric_med,0.2944,0.0137,0.1939,0.0323,0.0556,0.0123,0.0639,0.2267,0.0018,0.0368,0.0036,0.0908,0.0018,0.4682,0.0006,0.0000,0.0394,0.0000,0.0851
photometric_high,0.3668,0.0001,0.0513,0.0000,0.0025,0.0058,0.0000,0.0768,0.0000,0.1934,0.0028,0.0001,0.0000,0.0292,0.0000,0.0001,0.0004,0.0000,0.0000
depthaware_b0005,0.7757,0.5041,0.4378,0.0772,0.1834,0.2335,0.4563,0.3691,0.5601,0.3155,0.9077,0.0949,0.4806,0.5248,0.0234,0.4983,0.3628,0.0407,0.3881
depthaware_b001,0.8517,0.3540,0.2910,0.0557,0.1991,0.1547,0.4289,0.2493,0.3940,0.2202,0.5361,0.1542,0.4505,0.3141,0.0219,0.1209,0.0859,0.0309,0.2820
depthaware_b002,0.8371,0.2180,0.1656,0.0168,0.2260,0.1700,0.3750,0.3708,0.4599,0.3093,0.2252,0.0215,0.2624,0.2763,0.0191,0.0746,0.1134,0.0095,0.1711
combined,0.0632,0.0000,0.0784,0.0000,0.0181,0.0033,0.0208,0.1383,0.0001,0.0410,0.0000,0.0281,0.0000,0.1394,0.0000,0.0000,0.1258,0.0000,0.0000
nn_depth_b0005,0.9222,0.4913,0.3690,0.1635,0.2952,0.2287,0.5137,0.3738,0.7189,0.3905,0.7758,0.2890,0.4521,0.4423,0.0328,0.4147,0.1600,0.0139,0.3855
nn_depth_b001,0.8132,0.2605,0.1272,0.0177,0.2485,0.1732,0.4354,0.3946,0.7587,0.3790,0.2741,0.0770,0.2632,0.2492,0.0144,0.1567,0.1090,0.0016,0.3142
nn_depth_b002,0.6497,0.5065,0.2330,0.0669,0.0783,0.2354,0.4646,0.4771,0.7196,0.3187,0.3241,0.0137,0.2994,0.1327,0.1422,0.2225,0.1601,0.0000,0.1468
